"VATSAKIPU, ULOSTAMINEN (RIPULI/UMMETUS)",KYSYMYSTEKSTI,TYYPPI,VAIHTOEHDOT,TEKSTI,KYSYMYSTEKSTI,TYYPPI,VAIHTOEHDOT,TEKSTI,KYSYMYSTEKSTI,TYYPPI,VAIHTOEHDOT,TEKSTI,KYSYMYSTEKSTI,TYYPPI,VAIHTOEHDOT,TEKSTI,KYSYMYSTEKSTI,TYYPPI,VAIHTOEHDOT,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Onko sinulla kipua vatsan alueella?,valinta,Kyllä,,Siirtyy vatsakipupuustoon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Ei,Ei vatsakipua.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,En osaa sanoa,Ei osaa sanoa onko vatsakipua.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Onko sinulla viime aikoina ollut normaalista poikkeavia virtsaamisoireita?,valinta,Kyllä,,Siirtyy virtsaamispuustoon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Ei,Virtsaaminen normaalia.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,En osaa sanoa,Ei osaa sanoa onko poikkeavia virtsaamisoireita.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Onko sinun ulostaminen ollut normaalista poikkeavaa (ripulia, ummetusta, tummia ulosteita, kirkasta verta) viime aikoina?",valinta,Kyllä,,Siirtyy ulostamispuustoon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Ei,Ulostaminen normaalia/entisenlaista.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,En osaa sanoa,Ei osaa sanoa onko ulostaminen normaalista poikkeavaa.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Onko sinulla viime aikoina ollut pahoinvointia?,valinta,Kyllä,,Siirtyy pahoinvointipuustoon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Ei,Ei pahoinvointia.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Oletko viime aikoina oksentanut?,valinta,Kyllä,,Siirtyy oksentelupuustoon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Ei,Ei oksentelua.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Onko sinulla viime aikoina ollut närästystä?,valinta,Kyllä,,Valitse seuraavista parhaiten sopiva vaihtoehto,valinta,Närästystä on esiintynyt päivittäin.,Närästystä päivittäin.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Närästystä on esiintynyt ajoittain.,Närästystä ajoittain.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Ei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
