"YSKƒ, KORVAKIPU; NUHA",KYSYMYSTEKSTI,TYYPPI,VAIHTOEHDOT,TEKSTI,KYSYMYSTEKSTI,TYYPPI,VAIHTOEHDOT,TEKSTI,KYSYMYSTEKSTI,TYYPPI,VAIHTOEHDOT,TEKSTI,KYSYMYSTEKSTI,TYYPPI,VAIHTOEHDOT,TEKSTI,KYSYMYSTEKSTI,TYYPPI,VAIHTOEHDOT,,,,,,,,,,,,,,,,,,
,Onko sinulla ysk‰‰?,valinta,Kyll‰,,Milloin ysk‰ on alkanut?,valinta,Ysk‰‰ on ollut 1-3 vrk ajan,,Onko ysk‰ p‰‰osin limaista vai kuivaa?,valinta,Ysk‰ on limaista,1-3 vrk ajan ollut kuivaa ysk‰‰.,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Ysk‰ on kuivaa,1-3 vrk ajan ollut limaista ysk‰‰.,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Ysk‰‰ on ollut 4-6 vrk ajan,,Onko ysk‰ jatkuvaa vai puuskittaista? Valitse parhaiten sopiva vaihtoehto,Valinta,Minulla esiintyy pelk‰st‰‰n ysk‰npuuskia,,Onko ysk‰ p‰‰osin limaista vai kuivaa?,valinta,Ysk‰ on limaista,,"Onko ysk‰ pahenemassa, pysynyt samanalaisena vai helpottamassa?",valinta,Ysk‰ on jo helpottamassa,"4-6 vrk ajan ollut limaisia ysk‰npuuskia, jotka ovat jo helpottamassa.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Ysk‰ on pysynyt samanalaisena,4-6 vrk ajan ollut limaisia ysk‰npuuskia.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Ysk‰ on pahenemassa,4-6 vrk ajan ollut pahenevia limaisia ysk‰npuuskia.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Ysk‰ on kuivaa,,"Onko ysk‰ pahenemassa, pysynyt samanalaisena vai helpottamassa?",valinta,Ysk‰ on jo helpottamassa,"4-6 vrk ajan ollut kuivia ysk‰npuuskia, jotka ovat jo helpottamassa.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Ysk‰ on pysynyt samanalaisena,4-6 vrk ajan ollut kuivia ysk‰npuuskia.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Ysk‰ on pahenemassa,4-6 vrk ajan ollut pahenevia kuivia ysk‰npuuskia.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Ysk‰ on jatkuvaa,,Onko ysk‰ p‰‰osin limaista vai kuivaa?,valinta,Ysk‰ on limaista,,"Onko ysk‰ pahenemassa, pysynyt samanalaisena vai helpottamassa?",valinta,Ysk‰ on jo helpottamassa,"4-6 vrk ajan ollut jatkuvaa limaista ysk‰‰, joka on jo helpottamassa.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Ysk‰ on pysynyt samanalaisena,4-6 vrk ajan ollut jatkuvaa limaista ysk‰‰.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Ysk‰ on pahenemassa,4-6 vrk ajan ollut jatkuvaa ja pahenevaa limaista ysk‰‰.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Ysk‰ on kuivaa,,"Onko ysk‰ pahenemassa, pysynyt samanalaisena vai helpottamassa?",valinta,Ysk‰ on jo helpottamassa,"4-6 vrk ajan ollut jatkuvaa kuivaa ysk‰‰, joka on jo helpottamassa.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Ysk‰ on pysynyt samanalaisena,4-6 vrk ajan ollut jatkuvaa kuivaa ysk‰‰.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Ysk‰ on pahenemassa,4-6 vrk ajan ollut jatkuvaa ja pahenevaa kuivaa ysk‰‰.,,,,,,,,,,,,,,,,,
