Gynekologiset oireet,,,,,,,,,,,,,,,,,,,,,,,,
,Onko sinulla nyt ollut poikkeavaa vuotoa em‰ttimest‰.,valinta,Kyll‰,,Kuinka kauan sinulla on ollut poikkeavaa vuotoa?,valinta,Oireet ovat alkaneet minulla t‰n‰‰n.,,Mink‰laista vuotoa sinulla on ollut?,valinta,Minulla on lis‰‰ntynytt‰ valkovuotoa,T‰n‰‰n tullut norm. enemm‰n valkovuotoa.,,,,,,,,,,,,
,,,,,,,,,,,Minulla on kellert‰v‰‰ vuotoa,T‰n‰‰n tullut kellert‰v‰‰ vuotoa em‰ttimest‰.,,,,,,,,,,,,
,,,,,,,,,,,Minulla on rusehtavaa vuotoa,T‰n‰‰n tullut rusehtavaa vuotoa em‰ttimest‰.,,,,,,,,,,,,
,,,,,,,,,,,Minulla on verist‰ vuotoa,T‰n‰‰n alkanut verinen vuoto em‰ttimest‰.,,,,,,,,,,,,
,,,,,,,,,,,"Minulla on poikkeavaa vuotoa, mutta en osaa sanoa mill‰ tavalla poikkeavaa.","T‰n‰‰n alkanut poikkeava vuoto em‰ttimest‰, ei osaa sanoa mill‰ tavalla poikkeavaa.",,,,,,,,,,,,
,,,,,,,Minulla on ollut oireita 1-3 vrk ajan.,,Mink‰laista vuotoa sinulla on ollut?,valinta,Minulla on lis‰‰ntynytt‰ valkovuotoa,1-3 vrk ajan ollut norm. enemm‰n valkovuotoa.,,,,,,,,,,,,
,,,,,,,,,,,Minulla on kellert‰v‰‰ vuotoa,1-3 vrk ajan ollut kellert‰v‰‰ vuotoa em‰ttimest‰.,,,,,,,,,,,,
,,,,,,,,,,,Minulla on rusehtavaa vuotoa,1-3 vrk ajan ollut rusehtavaa vuotoa em‰ttimest‰.,,,,,,,,,,,,
,,,,,,,,,,,Minulla on verist‰ vuotoa,1-3 vrk ajan ollut verist‰ vuotoa em‰ttimest‰.,,,,,,,,,,,,
,,,,,,,,,,,"Minulla on poikkeavaa vuotoa, mutta en osaa sanoa mill‰ tavalla poikkeavaa.","1-3 vrk:n ajan ollut poikkeavaa vuotoa em‰ttimest‰, ei osaa sanoa mill‰ tavalla poikkeavaa.",,,,,,,,,,,,
,,,,,,,Minulla on ollut oireita 4-6 vrk ajan.,,Mink‰laista vuotoa sinulla on ollut?,valinta,Minulla on lis‰‰ntynytt‰ valkovuotoa,4-6 vrk ajan ollut norm. enemm‰n valkovuotoa.,,,,,,,,,,,,
,,,,,,,,,,,Minulla on kellert‰v‰‰ vuotoa,4-6 vrk ajan ollut kellert‰v‰‰ vuotoa em‰ttimest‰.,,,,,,,,,,,,
,,,,,,,,,,,Minulla on rusehtavaa vuotoa,4-6 vrk ajan ollut rusehtavaa vuotoa em‰ttimest‰.,,,,,,,,,,,,
,,,,,,,,,,,Minulla on verist‰ vuotoa,,Onko verinen vuoto lis‰‰ntynyt koko ajan?,valinta,Kyll‰,4-6 vrk ajan ollut koko ajan lis‰‰ntyv‰‰ verist‰ vuotoa.,,,,,,,,
,,,,,,,,,,,,,,,Ei,4-6 vrk ajan ollut verist‰ vuotoa.,,,,,,,,
,,,,,,,,,,,Minulla on ep‰m‰‰r‰ist‰ vuotoa ts. en osaa kuvailla vuotoa,4-6 vrk:n ajan ep‰m‰‰r‰ist‰ vuotoa em‰ttimest‰.,,,,,,,,,,,,
,,,,,,,Minulla on ollut oireita 1-2 viikon ajan.,,Mink‰laista vuotoa sinulla on ollut?,valinta,Minulla on lis‰‰ntynytt‰ valkovuotoa,1-2 vko ajan ollut norm. enemm‰n valkovuotoa.,,,,,,,,,,,,
,,,,,,,,,,,Minulla on kellert‰v‰‰ vuotoa,1-2 vko ajan ollut kellert‰v‰‰ vuotoa em‰ttimest‰.,,,,,,,,,,,,
,,,,,,,,,,,Minulla on rusehtavaa vuotoa,1-2 vko ajan ollut rusehtavaa vuotoa em‰ttimest‰.,,,,,,,,,,,,
,,,,,,,,,,,Minulla on verist‰ vuotoa,,Onko verinen vuoto lis‰‰ntynyt koko ajan?,valinta,Kyll‰,1-2 vko ajan ollut koko ajan lis‰‰ntyv‰‰ verist‰ vuotoa.,,,,,,,,
,,,,,,,,,,,,,,,Ei,1-2 vko ajan ollut verist‰ vuotoa.,,,,,,,,
,,,,,,,,,,,Minulla on ep‰m‰‰r‰ist‰ vuotoa ts. en osaa kuvailla vuotoa,1-2 vko:n ajan ep‰m‰‰r‰ist‰ vuotoa em‰ttimest‰.,,,,,,,,,,,,
,,,,,,,Minulla on ollut oireita yli 2 viikon ajan.,,Mink‰laista vuotoa sinulla on ollut?,valinta,Minulla on lis‰‰ntynytt‰ valkovuotoa,Yli 2 vko ajan ollut norm. enemm‰n valkovuotoa.,,,,,,,,,,,,
,,,,,,,,,,,Minulla on kellert‰v‰‰ vuotoa,Yli 2 vko ajan ollut kellert‰v‰‰ vuotoa.,,,,,,,,,,,,
,,,,,,,,,,,Minulla on rusehtavaa vuotoa,Yli 2 vko ajan ollut rusehtavaa vuotoa.,,,,,,,,,,,,
,,,,,,,,,,,Minulla on verist‰ vuotoa,,Onko verinen vuoto lis‰‰ntynyt koko ajan?,valinta,Kyll‰,Yli 2 vko ajan ollut koko ajan lis‰‰ntyv‰‰ verist‰ vuotoa.,,,,,,,,
