Oksentelu,KYSYMYSTEKSTI,TYYPPI,VAIHTOEHDOT,TEKSTI,KYSYMYSTEKSTI,TYYPPI,VAIHTOEHDOT,TEKSTI,KYSYMYSTEKSTI,TYYPPI,VAIHTOEHDOT,TEKSTI,KYSYMYSTEKSTI,TYYPPI,VAIHTOEHDOT,TEKSTI,KYSYMYSTEKSTI,TYYPPI,VAIHTOEHDOT,
,Kuinka kauan sinulla on ollut oksentelua?,valinta,Oksentelu on alkanut minulla t‰n‰‰n.,,Kuinka monta kertaa viimeisen vuorokauden sis‰ll‰ olet oksentanut?,valinta,1-2 kertaa,"T‰n‰‰n alkanut oksentelu, viimeisen vrk aikana oksentanut 1-2 kertaa.",,,,,,,,,,,,
,,,,,,,3-5 kertaa,"T‰n‰‰n alkanut oksentelu, viimeisen vrk aikana oksentanut 3-5 kertaa.",,,,,,,,,,,,
,,,,,,,yli 5 kertaa,"T‰n‰‰n alkanut oksentelu, viimeisen vrk aikana oksentanut yli 5 kertaa.",,,,,,,,,,,,
,,,Minulla on ollut oksentelua 1-3 vuorokauden ajan.,,Kuinka monta kertaa viimeisen vuorokauden sis‰ll‰ olet oksentanut?,valinta,1-2 kertaa,"1-3 vrk ajan ollut oksentelua, viimeisen vrk aikana oksentanut 1-2 kertaa.",,,,,,,,,,,,
,,,,,,,3-5 kertaa,"1-3 vrk ajan ollut oksentelua, viimeisen vrk aikana oksentanut 3-5 kertaa.",,,,,,,,,,,,
,,,,,,,yli 5 kertaa,"1-3 vrk ajan ollut oksentelua, viimeisen vrk aikana oksentanut yli 5 kertaa.",,,,,,,,,,,,
,,,Minulla on ollut oksentelua 4-6 vuorokauden ajan.,,Onko oksentelu pahentunut?,valinta,Kyll‰,,Kuinka monta kertaa viime vuorokauden sis‰ll‰ olet oksentanut?,valinta,1-2 kertaa,"4-6 vrk ajan ollut pahenevaa oksentelua, viimeisen vrk aikana oksentanut 1-2 kertaa.",,,,,,,,
,,,,,,,,,,,3-5 kertaa,"4-6 vrk ajan ollut pahenevaa oksentelua, viimeisen vrk aikana oksentanut 3-5 kertaa.",,,,,,,,
,,,,,,,,,,,yli 5 kertaa,"4-6 vrk ajan ollut pahenevaa oksentelua, viimeisen vrk aikana oksentanut yli 5 kertaa.",,,,,,,,
,,,,,,,Ei,,Kuinka monta kertaa viime vuorokauden sis‰ll‰ olet oksentanut?,valinta,1-2 kertaa,"4-6 vrk ajan ollut oksentelua, viimeisen vrk aikana oksentanut 1-2 kertaa.",,,,,,,,
,,,,,,,,,,,3-5 kertaa,"4-6 vrk ajan ollut oksentelua, viimeisen vrk aikana oksentanut 3-5 kertaa.",,,,,,,,
,,,,,,,,,,,yli 5 kertaa,"4-6 vrk ajan ollut oksentelua, viimeisen vrk aikana oksentanut yli 5 kertaa.",,,,,,,,
,,,Minulla on ollut oksentelua 1-2 viikon ajan.,,Onko viime p‰ivin‰ oksentelu pahentunut?,valinta,Kyll‰,,Kuinka monta kertaa viimeisen vuorokauden sis‰ll‰ olet oksentanut?,valinta,1-2 kertaa,"1-2 viikon ajan ollut pahenevaa oksentelua, viimeisen vrk aikana oksentanut 1-2 kertaa.",,,,,,,,
,,,,,,,,,,,3-5 kertaa,"1-2 viikon ajan ollut pahenevaa oksentelua,  viimeisen vrk aikana oksentanut 3-5 kertaa.",,,,,,,,
,,,,,,,,,,,yli 5 kertaa,"1-2 viikon ajan ollut pahenevaa oksentelua, viimeisen vrk aikana oksentanut yli 5 kertaa.",,,,,,,,
,,,,,,,Ei,,Kuinka monta kertaa viimeisen vuorokauden sis‰ll‰ olet oksentanut?,valinta,1-2 kertaa,"1-2 viikon ajan ollut oksentelua, viimeisen vrk aikana oksentanut 1-2 kertaa.",,,,,,,,
,,,,,,,,,,,3-5 kertaa,"1-2 viikon ajan ollut oksentelua, viimeisen vrk aikana oksentanut 3-5 kertaa.",,,,,,,,
,,,,,,,,,,,yli 5 kertaa,"1-2 viikon ajan ollut oksentelua, viimeisen vrk aikana oksentanut yli 5 kertaa.",,,,,,,,
,,,Minulla on ollut oksentelua 2 viikon - 1kk ajan.,,Onko viime p‰ivin‰ oksentelu pahentunut?,valinta,Kyll‰,,Kuinka monta kertaa viimeisen vuorokauden sis‰ll‰ olet oksentanut?,valinta,1-2 kertaa,"2 viikon - 1 kk ajan ollut pahenevaa oksentelua, viimeisen vrk aikana oksentanut 1-2 kertaa.",,,,,,,,
,,,,,,,,,,,3-5 kertaa,"2 viikon - 1 kk ajan ollut pahenevaa oksentelua, viimeisen vrk aikana oksentanut 3-5 kertaa.",,,,,,,,
,,,,,,,,,,,yli 5 kertaa,"2 viikon - 1 kk ajan ollut pahenevaa oksentelua, viimeisen vrk aikana oksentanut yli 5 kertaa.",,,,,,,,
,,,,,,,Ei,,Kuinka monta kertaa viimeisen vuorokauden sis‰ll‰ olet oksentanut?,valinta,1-2 kertaa,"2 viikon - 1 kk ajan ollut oksentelua, viimeisen vrk aikana oksentanut 1-2 kertaa.",,,,,,,,
,,,,,,,,,,,3-5 kertaa,"2 viikon - 1 kk ajan ollut oksentelua, viimeisen vrk aikana oksentanut 3-5 kertaa.",,,,,,,,
,,,,,,,,,,,yli 5 kertaa,"2 viikon - 1 kk ajan ollut oksentelua, viimeisen vrk aikana oksentanut yli 5 kertaa.",,,,,,,,
,,,Minulla on ollut oksentelua yli kuukauden ajan.,,Onko viime p‰ivin‰ oksentelu pahentunut?,valinta,Kyll‰,,Kuinka monta kertaa viimeisen vuorokauden sis‰ll‰ olet oksentanut?,valinta,1-2 kertaa,"Yli 1 kk ajan ollut pahenevaa oksentelua, viimeisen vrk aikana oksentanut 1-2 kertaa.",,,,,,,,
,,,,,,,,,,,3-5 kertaa,"Yli 1 kk ajan ollut pahenevaa oksentelua, viimeisen vrk aikana oksentanut 3-5 kertaa.",,,,,,,,
,,,,,,,,,,,yli 5 kertaa,"Yli 1 kk ajan ollut pahenevaa oksentelua, viimeisen vrk aikana oksentanut yli 5 kertaa.",,,,,,,,
,,,,,,,Ei,,Kuinka monta kertaa viimeisen vuorokauden sis‰ll‰ olet oksentanut?,valinta,1-2 kertaa,"Yli 1 kk ajan ollut oksentelua, viimeisen vrk aikana oksentanut 1-2 kertaa.",,,,,,,,
,,,,,,,,,,,3-5 kertaa,"Yli 1 kk ajan ollut oksentelua, viimeisen vrk aikana oksentanut 3-5 kertaa.",,,,,,,,
,,,,,,,,,,,yli 5 kertaa,"Yli 1 kk ajan ollut oksentelua, viimeisen vrk aikana oksentanut yli 5 kertaa.",,,,,,,,
