Pahoinvointi,KYSYMYSTEKSTI,TYYPPI,VAIHTOEHDOT,TEKSTI,KYSYMYSTEKSTI,TYYPPI,VAIHTOEHDOT,TEKSTI,KYSYMYSTEKSTI,TYYPPI,VAIHTOEHDOT,TEKSTI,KYSYMYSTEKSTI,TYYPPI,VAIHTOEHDOT,TEKSTI,KYSYMYSTEKSTI,TYYPPI,VAIHTOEHDOT,,,
,Kuinka kauan sinulla on ollut pahoinvointia ?,valinta,Pahoinvointi on alkanut minulla t‰n‰‰n.,T‰st‰ p‰iv‰st‰ alkaen,,,,,,,,,,,,,,,,,,
,,,Minulla on ollut pahoinvointia 1-3 vuorokauden ajan.,1-3 vrk ajan ollut,,,,,,,,,,,,,,,,,,
,,,Minulla on ollut pahoinvointia 4-6 vuorokauden ajan.,4-6 vrk ajan ollut,,,,,,,,,,,,,,,,,,
,,,Minulla on ollut pahoinvointia 1-2 viikon ajan.,1-2 viikon ajan ollut,,,,,,,,,,,,,,,,,,
,,,Minulla on ollut pahoinvointia 2 viikon - 1kk ajan.,2 viikon - 1kk ajan ollut,,,,,,,,,,,,,,,,,,
,,,Minulla on ollut pahoinvointia yli 1 kk ajan.,Yli 1 kk ajan ollut,,,,,,,,,,,,,,,,,,
,Onko pahoinvointi ollut jatkuvaa vai ajoittaista vai aaltomaista?,valinta,Minulla on koko ajan jatkuvaa pahoinvointia.,,Paheneeko pahoinvointisi koko ajan?,valinta,Kyll‰,"jatkuvaa, pahenevaa pahoinvointia.",,,,,,,,,,,,,,
,,,,,,,Ei,"jatkuvaa pahoinvointia, joka ei ole pahentunut.",,,,,,,,,,,,,,
,,,"Minulla pahoinvointi vaihtelee (v‰lill‰ helpottaa, mutta ei poistu kokonaan).",,Paheneeko pahoinvointisi koko ajan?,valinta,Kyll‰,"aaltoilevaa, pahenevaa pahoinvointia.",,,,,,,,,,,,,,
,,,,,,,Ei,"aaltoilevaa pahoinvointia, ei ole pahentunut.",,,,,,,,,,,,,,
,,,Minulla on pahoinvointia ajoittain (poistuu kokonaan v‰lill‰).,,Paheneeko pahoinvointisi koko ajan?,valinta,Kyll‰,"ajoittaista, pahenevaa pahoinvointia.",,,,,,,,,,,,,,
,,,,,,,Ei,"ajoittaista pahoinvointia, ei ole pahentunut.",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
