Ulostaminen,KYSYMYSTEKSTI,TYYPPI,VAIHTOEHDOT,TEKSTI,KYSYMYSTEKSTI,TYYPPI,VAIHTOEHDOT,TEKSTI,KYSYMYSTEKSTI,TYYPPI,VAIHTOEHDOT,TEKSTI,KYSYMYSTEKSTI,TYYPPI,VAIHTOEHDOT,TEKSTI,KYSYMYSTEKSTI,TYYPPI,VAIHTOEHDOT,,,,,,,,,,,,,,,,
,Onko sinulla ripulia?,valinta,Kyllä,,Kuinka kauan sinulla on ollut ripulia?,valinta,Ripuli on alkanut tänään.,"Ripuli on alkanut tänään,",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Ripuli on kestänyt 1-3 vuorokauden ajan.,"Ripulia ollut 1-3 vrk ajan,",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Ripuli on kestänyt 4-6 vuorokauden ajan.,,"Onko ripuli viimeisen 2 vuorokauden aikana helpottanut, pysynyt samanlaisena vai pahentunut?",valinta,Ripulioireet ovat helpottuneet viimeisen 2 vrk aikana.,"4-6 vrk ajan ollut ripulia, joka viime päivinä helpottunut.",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Ripulioireet ovat pysyneet samanlaisina viimeisen 2 vrk aikana.,4-6 vrk ajan ollut ripulia.,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Ripulioireet ovat pahentuneet viimeisen 2 vrk aikana.,"4-6 vrk ajan ollut ripulia, joka viime päivinä pahentunut.",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Ripuli on kestänyt 1-2 viikon ajan.,,"Onko ripuli viimeisen 2 vuorokauden aikana helpottanut, pysynyt samanlaisena vai pahentunut?",valinta,Ripulioireet ovat helpottuneet viimeisen 2 vrk aikana.,"1-2 viikon ajan ollut ripulia, joka viime päivinä helpottunut.",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Ripulioireet ovat pysyneet samanlaisina viimeisen 2 vrk aikana.,1-2 viikon ajan ollut ripulia.,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Ripulioireet ovat pahentuneet viimeisen 2 vrk aikana.,"1-2 viikon ajan ollut ripulia, joka viime päivinä pahentunut.",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Ripuli on kestänyt 2 viikon - 1 kk ajan.,,"Onko ripuli viimeisen 2 vuorokauden aikana helpottanut, pysynyt samanlaisena vai pahentunut?",valinta,Ripulioireet ovat helpottuneet viimeisten päivien aikana.,"2 viikon - 1 kk ajan ollut ripulia, joka viime päivinä helpottunut.",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Ripulioireet ovat pysyneet samanlaisina viimeisten päivien aikana.,2 viikon - 1 kk ajan ollut ripulia.,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Ripulioireet ovat pahentuneet viimeisten päivien aikana.,"2 viikon - 1 kk ajan ollut ripulia, joka viime päivinä pahentunut.",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Ripuli on kestänyt yli 1 kk ajan.,,"Onko ripuli viimeisen 2 vuorokauden aikana helpottanut, pysynyt samanlaisena vai pahentunut?",valinta,Ripulioireet ovat helpottuneet viimeisten päivien aikana.,"Yli 1 kk ajan ollut ripulia, joka viime päivinä helpottunut.",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Ripulioireet ovat pysyneet samanlaisina viimeisten päivien aikana.,Yli 1 kk ajan ollut ripulia.,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Ripulioireet ovat pahentuneet viimeisten päivien aikana.,"Yli 1 kk ajan ollut ripulia, joka viime päivinä pahentunut.",,,,,,,,,,,,,,,,,,,,,,,
,,,,,Kuinka monta kertaa olet ulostanut viimeisen vuorokauden aikana?,valinta,Olen ulostanut 1-3 kertaa vuorokaudessa.,"Viimeisen vrk:n aikana ulostanut 1-3 kertaa, ",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Olen ulostanut 4-8 kertaa vuorokaudessa.,"Viimeisen vrk:n aikana ulostanut 4-8 kertaa,",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Olen ulostanut yli 8 kertaa vuorokaudessa.,"Viimeisen vrk:n aikana ulostanut yli 8 kertaa,",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,En osaa sanoa.,"Ei osaa sanoa kuinka monta kertaa on ulostanut vrk:n aikana,",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Valitse seuraavista sopivin vaihtoehto.,valinta,Uloste on täysin vesiripulia., vesiripulia.,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"Uloste on koostumukseltaan välillä vesiripulia, välillä löysää ulostetta.", vaihtelua vesiripulin ja löysän välillä.,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Uloste on pääsääntöisesti löysää ulostetta., pääsääntöisesti löysää ulostetta.,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Ei,,Onko sinulla nyt ummetusta?,valinta,Kyllä,,Kuinka kauan sinulla on ollut ummetusta?,valinta,Minulla on ollut ummetusta alle viikon ajan.,Ummetusta ollut alle viikon ajan.,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Minulla on ollut ummetusta 1-4 viikon ajan.,Ummetusta ollut 1-4 viikon ajan.,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Minulla on ollut ummetusta yli kuukauden ajan.,Ummetusta ollut yli kuukauden ajan.,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Milloin viimeksi sinä olet ulostanut?,valinta,Olen ulostanut viimeksi 1-3 vuorokautta sitten.,On ulostanut viimeksi 1-3 vrk sitten.,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Olen ulostanut viimeksi 4-6 vuorokautta sitten.,On ulostanut viimeksi 4-6 vrk sitten.,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Olen ulostanut viimeksi yli viikko sitten.,On ulostanut viimeksi yli viikko sitten.,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Ei,"Ei ripulia, eikä ummetusta.",,,,,,,,,,,,,,,,,,,,,,,,,,,
,Onko sinulla ollut tummia ulosteita?,valinta,Kyllä,,Kuinka kauan sinulla on ollut tummia ulosteita?,valinta,Minulla on alkanut tummat ulosteet tänään.,Tänään tullut tummia ulosteita.,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Minulla on ollut tummia ulosteita 1-3 vrk ajan.,1-3 vrk ajan on ollut tummia ulosteita.,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Minulla on ollut tummia ulosteita 4-6 vrk ajan.,4-6 vrk ajan on ollut tummia ulosteita.,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Minulla on ollut tummia ulosteita 1-2 viikon ajan.,1-2 vko ajan on ollut tummia ulosteita.,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Minulla on ollut tummia ulosteita 2 viikon -1 kk ajan.,2vko -1 kk ajan on ollut tummia ulosteita.,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Minulla on ollut tummia ulosteita yli 1 kk ajan.,Yli kk ajan on ollut tummia ulosteita.,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Ei,Ei tummia ulosteita.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Onko sinulla nyt kirkasta verta ulostaessa tai pyyhkiessä?,valinta,Kyllä,,Kuinka kauan sinulla on ollut kirkasta verta ulostaessa tai pyyhkiessä?,valinta,Kirkasta verta on ollut tästä päivästä alkaen.,"Tänään on tullut kirkasta verta,",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Kirkasta verta on ollut 1-3 vrk ajan.,"1-3 vrk ajan on tullut kirkasta verta,",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Kirkasta verta on ollut 4-6 vrk ajan.,"4-6 vrk ajan on tullut kirkasta verta,",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Kirkasta verta on ollut 1-2 viikon ajan.,"1-2 vko ajan on tullut kirkasta verta,",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Kirkasta verta on ollut 2 viikon -1 kk ajan.,"2vko -1 kk ajan on tullut kirkasta verta,",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Kirkasta verta on ollut yli 1 kk ajan.,"Yli kk ajan on tullut kirkasta verta,",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Onko verta tullut vain pyyhkiessä vai myös ulostaessa?,valinta,Minulla on ollut kirkasta verta ainoastaan pyyhkiessä ulostamisen jälkeen., vessapaperiin pyyhkiessä.,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Minulla on ollut kirkasta verta ulostaessa ja pyyhkiessä., vessapaperiin pyyhkiessä ja ulosteen seassa.,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Onko sinulla joskus todettu peräpukamia?,valinta,Kyllä,Potilaalla on todettu aikaisemmin peräpukamia.,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Ei,Potilaalla ei ole todettu aikaisemmin peräpukamia.,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Ei,Ei kirkasta verta ulostamisen yhteydessä.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Onko sinulla nyt ollut myös kipua ulostaessa?,valinta,Kyllä,Ollut myös kipua ulostamisen yhteydessä.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Ei,Ei kipua ulostaessa.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
