Virtsaaminen,KYSYMYSTEKSTI,TYYPPI,VAIHTOEHDOT,TEKSTI,KYSYMYSTEKSTI,TYYPPI,VAIHTOEHDOT,TEKSTI,KYSYMYSTEKSTI,TYYPPI,VAIHTOEHDOT,TEKSTI,KYSYMYSTEKSTI,TYYPPI,VAIHTOEHDOT,TEKSTI,KYSYMYSTEKSTI,TYYPPI,VAIHTOEHDOT,,,,,,,,,,,,,,,,,,,,,
,Kuinka kauan sinulla on ollut poikkeavia virtsaamisoireita?,valinta,Virtsaamisoireet ovat alkaneet minulla tänään.,,Onko sinulla virtsaamisen tarve lisääntynyt?,valinta,Kyllä,,Kirveleekö/onko sinulla kipua virtsatessa?,valinta,Kyllä,,Onko sinulla virtsaaminen vaikeutunut?,valinta,Kyllä,"Tänään alkanut tihentynyt virtsaamistarve, kirvelyä virtsatessa ja virtsaamisvaikeus.",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Ei,"Tänään alkanut tihentynyt virtsaamistarve, kirvelyä virtsatessa. Ei virtsaamisvaikeutta.",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Ei,,Onko sinulla virtsaaminen vaikeutunut?,valinta,Kyllä,Tänään alkanut tihentynyt virtsaamistarve ja virtsaamisvaikeus. Ei kirvelyä virtsatessa.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Ei,"Tänään alkanut tihentynyt virtsaamistarve. Ei virtsaamisvaikeutta, ei kirvelyä virtsatessa.",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Ei,,Kirveleekö/onko sinulla kipua virtsatessa?,valinta,Kyllä,,Onko sinulla virtsaaminen vaikeutunut?,valinta,Kyllä,Tänään alkanut kirvely virtsatessa ja virtsaamisvaikeus. Ei tihentynyttä virtsaamistarvetta.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Ei,"Tänään alkanut kirvely virtsatessa. Ei virtsaamisvaikeutta, ei tihentynyttä virtsaamistarvetta.",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Ei,,Onko sinulla virtsaaminen vaikeutunut?,valinta,Kyllä,"Tänään alkanut virtsaamisvaikeus. Ei tihentynyttä virtsaamistarvetta, ei kirvelyä virtsatessa.",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Ei,"Ei tihentynyttä virtsaamistarvetta, ei kirvelyä virtsatessa, ei virtsaamisvaikeutta.",,,,,,,,,,,,,,,,,,,,,,,,
,,,Minulla on ollut virtsaamisoireita 1-3 vuorokauden ajan.,,Onko sinulla virtsaamisen tarve lisääntynyt?,valinta,Kyllä,,Kirveleekö/onko sinulla kipua virtsatessa?,valinta,Kyllä,,Onko sinulla virtsaaminen vaikeutunut?,valinta,Kyllä,"1-3 vrk ajan ollut tihentynyttä virtsaamistarvetta, kirvelyä virtsatessa ja virtsaamisvaikeutta.",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Ei,"1-3 vrk ajan ollut tihentynyttä virtsaamistarvetta, kirvelyä virtsatessa. Ei virtsaamisvaikeutta.",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Ei,,Onko sinulla virtsaaminen vaikeutunut?,valinta,Kyllä,1-3 vrk ajan ollut tihentynyttä virtsaamistarvetta ja virtsaamisvaikeutta. Ei kirvelyä virtsatessa.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Ei,"1-3 vrk ajan ollut tihentynyttä virtsaamistarvetta. Ei kirvelyä virtsatessa, ei virtsaamisvaikeutta.",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Ei,,Kirveleekö/onko sinulla kipua virtsatessa?,valinta,Kyllä,,Onko sinulla virtsaaminen vaikeutunut?,valinta,Kyllä,1-3 vrk ajan ollut kirvelyä virtsatessa ja virtsaamisvaikeutta. Ei tihentynyttä virtsaamistarvetta.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Ei,"1-3 vrk ajan ollut kirvelyä virtsatessa. Ei virtsaamisvaikeutta, ei tihentynyttä virtsaamistarvetta.",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Ei,,Onko sinulla virtsaaminen vaikeutunut?,valinta,Kyllä,"1-3 vrk ajan ollut virtsaamisvaikeutta. Ei tihentynyttä virtsaamistarvetta, ei kirvelyä virtsatessa.",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Ei,"Ei tihentynyttä virtsaamistarvetta, ei kirvelyä virtsatessa, ei virtsaamisvaikeutta.",,,,,,,,,,,,,,,,,,,,,,,,
,,,Minulla on ollut virtsaamisoireita 4-6 vuorokauden ajan.,,Onko sinulla virtsaamisen tarve lisääntynyt?,valinta,Kyllä,,Kirveleekö/onko sinulla kipua virtsatessa?,valinta,Kyllä,,Onko sinulla virtsaaminen vaikeutunut?,valinta,Kyllä,"4-6 vrk ajan ollut tihentynyttä virtsaamistarvetta, kirvelyä virtsatessa ja virtsaamisvaikeutta.",,,,,,,,,,,,,,,,,,,,,,,,
