,KYSYMYSTEKSTI,TYYPPI,VAIHTOEHDOT,TEKSTI,KYSYMYSTEKSTI,TYYPPI,VAIHTOEHDOT,TEKSTI,KYSYMYSTEKSTI,TYYPPI,VAIHTOEHDOT,TEKSTI,KYSYMYSTEKSTI,TYYPPI,VAIHTOEHDOT,TEKSTI,KYSYMYSTEKSTI,TYYPPI,VAIHTOEHDOT,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Onko sinulla kipua vatsan alueella?,valinta,Kyll‰,,Kuinka kauan nykyist‰ vatsakipua sinulla on ollut?,valinta,Vatsakipu on alkanut minulla t‰n‰‰n.,"Potilaalla kipua, joka on alkanut t‰n‰‰n,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Minulla on ollut vatsakipua 1-3 vuorokauden ajan.,"Potilaalla ollut kipua 1-3 vrk:n ajan,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Minulla on ollut vatsakipua 4-6 vuorokauden ajan.,"Potilaalla ollut kipua 4-6 vrk:n ajan,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Minulla on ollut vatsakipua 1-2 viikon ajan.,"Potilaalla ollut kipua 1-2 vko ajan,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Minulla on ollut vatsakipua 2 vko - 1kk ajan.,"Potilaalla ollut kipua 2 vko - 1kk ajan,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Minulla on ollut vatsakipua yli kuukauden ajan.,"Potilaalla ollut kipua yli 1kk ajan,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Miss‰ kohtaa sinulla on vatsakipua?,valinta,Minulla on kipua koko vatsan alueella., koko vatsan alueella.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Minulla on kipua yl‰vatsalla.,,Miss‰ kohdassa yl‰vatsaa sinulla on kipua?,valinta,Minulla on kipua koko yl‰vatsan alueella., koko yl‰vatsan alueella.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Minulla on kipua yl‰vatsalla oikealla puolella., oikealla puolella yl‰vatsaa.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Minulla on kipua yl‰vatsalla keskell‰., keskell‰ yl‰vatsaa.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Minulla on kipua yl‰vatsalla vasemmalla puolella., vasemmalla puolella yl‰vatsaa.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Minulla on kipua alavatsalla. ,,Miss‰ kohdassa alavatsaa sinulla on kipua?,valinta,Minulla on kipua koko alavatsan alueella., koko alavatsan alueella.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Minulla on kipua alavatsalla oikealla puolella., oikealla puolella alavatsaa.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Minulla on kipua alavatsalla keskell‰., keskell‰ alavatsaa.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Minulla on kipua alavatsalla vasemmalla puolella., vasemmalla puolella alavatsaa.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Minulla on kipua oikealla puolella vatsaa.,,Miss‰ kohdassa oikealla puolella vatsaa sinulla on kipua?,valinta,Minulla on koko oikea puoli vatsasta kipe‰., oikealla puolella vatsaa kauttaaltaan.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Minulla on kipua yl‰vatsalla oikealla puolella., oikealla puolella yl‰vatsaa.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Minulla on kipua alavatsalla oikealla puolella., oikealla puolella alavatsaa.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Minulla on kipua keskell‰ vatsaa., keskell‰ vatsaa.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Minulla on kipua navan seudulla., navan seudulla.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Minulla on kipua vasemmalla puolella vatsaa.,,Miss‰ kohdassa vasemmalla puolella vatsaa sinulla on kipua?,valinta,Minulla on koko vasen puoli vatsasta kipe‰., vasemmalla puolella vatsaa kauttaaltaan.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Minulla on kipua yl‰vatsalla vasemmalla puolella., vasemmalla puolella yl‰vatsaa.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Minulla on kipua alavatsalla vasemmalla puolella., vasemmalla puolella alavatsaa.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,En osaa sanoa tarkkaan miss‰ kohtaa kipua on.," vatsan alueella, ei osaa sanoa tarkkaan miss‰ kohtaa vatsaa kipua on.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Onko vatsakipusi jatkuva vai ajoittaista vai aaltoimaista?,valinta,Kipu on jatkuvaa.,,"Kuinka kova kipu on pahimillaan? Kipuasteikolla 1-10, jossa 1=ei juuri kipua lainkaan vrt 10=pahin mahdollinen siet‰m‰tˆn kipu.",ligert,,"Kipu on jatkuvaa, VAS pahimillaan __,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Kipu on ajoittaista.,,"Kuinka kova kipu on pahimmillaan? Kipuasteikolla 1-10, jossa 1=ei juuri kipua lainkaan vrt 10=pahin mahdollinen siet‰m‰tˆn kipu.",ligert,,"Kipu on ajoittaista, VAS pahimillaan __,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Kipu on aaltomaista.,,"Kuinka kova kipu on pahimillaan? Kipuasteikolla 1-10, jossa 1=ei juuri kipua lainkaan vrt 10=pahin mahdollinen siet‰m‰tˆn kipu.",ligert,,"Kipu on aaltomaista, VAS pahimillaan __,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Onko vatsakipu koko ajan pahentunut?,valinta,Kyll‰,Kipu on pahentunut koko ajan.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Ei,Kipu ei ole pahentunut.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,En osaa sanoa,"Ei osaa sanoa, ett‰ onko kipu pahentunut.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Ei,Ei vatsakipua.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,En osaa sanoa,Ei osaa sanoa onko vatsakipua.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
